Timestamp,Pressure (Torr),Voltage (V)
2025-07-15 11:35:24,-1,-1
2025-07-15 11:35:29,-1,-1
2025-07-15 11:35:34,-1,-1
2025-07-15 11:35:39,-1,-1
2025-07-15 11:35:44,-1,-1
2025-07-15 11:35:49,-1,-1
2025-07-15 11:35:54,-1,-1
2025-07-15 11:35:59,-1,-1
2025-07-15 11:36:04,-1,-1
2025-07-15 11:36:09,-1,-1
